Place Name,Quarter,State,Total Amount,Total Transactions count,Year
anjaw district,3,arunachal-pradesh,95403.67678261214,13.0,2018
siang district,3,arunachal-pradesh,2141734.499956036,615.0,2018
lower siang district,3,arunachal-pradesh,3045590.882295873,2625.0,2018
kra daadi district,3,arunachal-pradesh,1606758.4080739785,436.0,2018
changlang district,3,arunachal-pradesh,20494174.9497154,10162.0,2018
pakke kessang district,3,arunachal-pradesh,305164.81707575504,165.0,2018
dibang valley district,3,arunachal-pradesh,196466.66696677107,29.0,2018
west kameng district,3,arunachal-pradesh,48528147.45054105,17026.0,2018
east siang district,3,arunachal-pradesh,24885270.773230053,10539.0,2018
upper subansiri district,3,arunachal-pradesh,4223297.613673143,1601.0,2018
east kameng district,3,arunachal-pradesh,3132863.590645522,1029.0,2018
lohit district,3,arunachal-pradesh,32702331.664437763,11595.0,2018
lepa rada district,3,arunachal-pradesh,1777602.4370017413,523.0,2018
tawang district,3,arunachal-pradesh,25733824.99410926,8715.0,2018
namsai district,3,arunachal-pradesh,10698272.7743813,5076.0,2018
lower dibang valley district,4,arunachal-pradesh,10951332.39393786,4227.0,2018
lower subansiri district,4,arunachal-pradesh,8884930.591487257,3735.0,2018
longding district,4,arunachal-pradesh,22545311.85089966,6581.0,2018
